review_id,source_tweet_id,customer_message,proposed_intent,proposed_escalation_decision,proposed_escalation_reason,claude_intent,claude_escalation_decision,claude_reason,claude_agrees_with_proposal
rev_001,1748,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Customer in distress about package not reaching correct address; urgency signals missed delivery requiring carrier check.,YES
rev_002,2565,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Short query about missing order; 'where is my order' combined with a photo implies missed delivery.,YES
rev_003,9816,@AmazonHelp you it is late but It is fine I just thought it was hilarious,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",other_or_unsupported,ESCALATE,"Customer explicitly says 'it is fine' and 'hilarious' — no actionable support request despite mentioning lateness. Conversational/sarcastic tone, not a delivery support ticket.",NO
rev_004,10633,@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Order was promised by the 25th and has not arrived — clear missed deadline.,YES
rev_005,10665,@AmazonHelp Hi is there a way to confirm that I make sure my pre-order of @115766 WWII gets here on time? Last year was day late.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",order_tracking_inquiry,AUTO_HANDLE,"Customer asks HOW TO CONFIRM a pre-order arrives on time; references last year's delay as context, but the current question is a tracking/confirmation inquiry, not a live delay complaint.",NO
rev_006,11026,@AmazonHelp Shows it was supposed to be delivered today by 8pm. USPS,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Order was supposed to be delivered today by 8pm; customer is reporting a missed delivery window with USPS.,YES
rev_007,11046,@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,System confirmed delay — 'sorry for package being late'. Missed delivery window confirmed.,YES
rev_008,11075,"@AmazonHelp i understand, but i am asking a general question, do you or do you not have a policy about late delivery with amazon prime?",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",general_product_and_service_faq,AUTO_HANDLE,Customer is asking a GENERAL POLICY QUESTION about late delivery policy for Prime — not reporting a specific delayed order. Safe FAQ answer about Prime delivery guarantee policy.,NO
rev_009,11073,@AmazonHelp isn't prime two day shipping supposed to be guaranteed? what happens when its late?,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",general_product_and_service_faq,AUTO_HANDLE,Hypothetical policy question about what happens when Prime 2-day is late — not a specific delayed order complaint. Safe FAQ.,NO
rev_010,11602,"@AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Package not found anywhere; Prime order confirmed late/lost. Requires carrier investigation.,YES
rev_011,11974,@AmazonHelp My Halloween costume is a day late. Can you help?,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Halloween costume is a day late — specific item missed expected delivery date.,YES
rev_012,15139,@AmazonHelp Nothing other than Pre-formatted responses.  Every order I’ve placed in the last 2 weeks has been delayed.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Multiple delayed orders over 2 weeks — systemic delivery delay complaint requiring investigation.,YES
rev_013,15442,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Package has not arrived yet — needs investigation to resolve.,YES
