review_id,source_tweet_id,customer_message,proposed_intent,proposed_escalation_decision,proposed_escalation_reason,human_intent,human_escalation_decision,human_escalation_reason,review_notes
rev_001,1748,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_002,2565,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_003,9816,@AmazonHelp you it is late but It is fine I just thought it was hilarious,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_004,10633,@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_005,10665,@AmazonHelp Hi is there a way to confirm that I make sure my pre-order of @115766 WWII gets here on time? Last year was day late.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_006,11026,@AmazonHelp Shows it was supposed to be delivered today by 8pm. USPS,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_007,11046,@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_008,11075,"@AmazonHelp i understand, but i am asking a general question, do you or do you not have a policy about late delivery with amazon prime?",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_009,11073,@AmazonHelp isn't prime two day shipping supposed to be guaranteed? what happens when its late?,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_010,11602,"@AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
